feature,coef
station_name_18024 Ov. Bolognesi - Ca. Madrid,5.938249650554759e+21
station_name_18025 Malecón Cisneros - (Parque del Faro La Marina),-2.4329301493991533e+22
station_name_18026 Malecón de la Marina - Parque Grau,-1.1321919957199926e+21
station_name_18027 Ov. Julio Ramón Riveyro - Av. Pardo,1.925012006050911e+20
station_name_18028 Av. Jorge Chávez - Av. Jose Pardo,4.922282621401822e+21
station_name_18029 Ca. Gral. Recavarren - Av. José Pardo,-8.858016973258994e+20
station_name_18030 Ca. Atahualpa Cdra.6 (Parque Bonilla),4.7365044027663e+21
station_name_18031 Ca. Gonzales Prada - Av. Paseo de la República  (Parque Miranda),-6.363130137681794e+20
station_name_18032 Ca. Gral. Suarez - Av .Angamos Oeste,-2.946718452672645e+21
station_name_18033 Ca. Scipión Llona Cdra.3,-1.5254888693012376e+21
station_name_18034 Ca. Tacna - Av. A. Aramburú,-5.222294469816226e+21
station_name_18035 Ca. Santander - Av. Santa Cruz,8.491203947419869e+20
station_name_18036 Ca. Carlos Tenaud - Av. Arequipa,2.434278021717747e+21
station_name_18037 Av. Angamos Oeste - Parque Naciones Unidas,4.574526594183438e+20
station_name_18038 Ca. Gral. Borgoño - Ca. Ayacucho,-1.2632802692422385e+21
station_name_18039 Psje. Juana Alarco De Dammert - Ov. Gutierrez,-5.695905584004133e+20
station_name_18040 Ca. Torre Tagle - Parque Piura,-2.855964276817732e+21
station_name_18041 Ca. Gral. Varela - Av. Angamos Oeste,4.288398612158598e+21
station_name_18042 Ca. Retiro - Av. Angamos Oeste,-1.4408396154809857e+20
station_name_18043 Ca. Mariano Melgar - Ca. Gral. Mendiburu,2.1474760277811656e+21
station_name_18044 Estadio Manuel Bonilla - Malecón de la Marina,7.921411357920034e+20
station_name_18045 Malecón de la Marina - Av. Federico Villarreal,1.2716911944979443e+21
station_name_18046 Malecón de la Marina - Skate Park,-4.034457792071897e+20
station_name_18047 Malecón Cisneros - Ca. Trípoli,2.8082138938009938e+20
station_name_18048 Av. Mariscal La Mar - Av. Santa Cruz,-9.294929705789569e+21
station_name_18049 Ca. Ignacio Merino - Av. La Mar,-3.8753238329030596e+21
station_name_18050 Ca. Gral. Borgoño - Parque Manuel Solari,-1.6192626091402992e+20
