model,rmse,r2,mae
Pseudoinversa,0.08369282446077562,0.9996110952307978,0.024423893180385597
Lstsq,0.08369282446077562,0.9996110952307978,0.024423893180383675
LinearRegression,0.08369291744953103,0.999611094366595,0.024423686147196706
EcuacionNormal,6.429277709576799e+18,-2.2950449204697894e+36,5.134877395042883e+18
