feature,coef
station_name_18019 Boulevard Armendariz - Av. La Paz,0.0020228630387005304
station_name_18020 Mlcn. De la Reserva - Av. N. de Balboa (Parque Domodossola),0.013672177766827224
station_name_18021 Av. Armendariz -Av. Larco (Larcomar),0.018966752261612364
station_name_18022 Malecón de la Reserva - Malecón 28 de Julio,0.007091804200407064
station_name_18023 Ca.BellavistaCdra.5,-0.001404594841668506
station_name_18024 Ov. Bolognesi - Ca. Madrid,-0.0016659427076035284
station_name_18025 Malecón Cisneros - (Parque del Faro La Marina),0.006817419155120579
station_name_18026 Malecón de la Marina - Parque Grau,0.007352903457364647
station_name_18027 Ov. Julio Ramón Riveyro - Av. Pardo,-0.0015271431379610227
station_name_18028 Av. Jorge Chávez - Av. Jose Pardo,0.007229213727159236
station_name_18029 Ca. Gral. Recavarren - Av. José Pardo,0.00418576081236268
station_name_18030 Ca. Atahualpa Cdra.6 (Parque Bonilla),0.0011975137033100613
station_name_18031 Ca. Gonzales Prada - Av. Paseo de la República  (Parque Miranda),0.0020596774702813132
station_name_18032 Ca. Gral. Suarez - Av .Angamos Oeste,-0.015332535530742885
station_name_18033 Ca. Scipión Llona Cdra.3,-0.009753395087191434
station_name_18034 Ca. Tacna - Av. A. Aramburú,0.001094162973414717
station_name_18035 Ca. Santander - Av. Santa Cruz,-0.004796210098121023
station_name_18036 Ca. Carlos Tenaud - Av. Arequipa,0.0009763287899015362
station_name_18037 Av. Angamos Oeste - Parque Naciones Unidas,0.017084024663302035
station_name_18038 Ca. Gral. Borgoño - Ca. Ayacucho,0.006152709676532084
station_name_18039 Psje. Juana Alarco De Dammert - Ov. Gutierrez,0.003971224206275896
station_name_18040 Ca. Torre Tagle - Parque Piura,-0.00453554295963624
station_name_18041 Ca. Gral. Varela - Av. Angamos Oeste,-0.004861901843236994
station_name_18042 Ca. Retiro - Av. Angamos Oeste,0.00046954342125796097
station_name_18043 Ca. Mariano Melgar - Ca. Gral. Mendiburu,0.0009562098578363942
station_name_18044 Estadio Manuel Bonilla - Malecón de la Marina,0.007078519421246579
station_name_18045 Malecón de la Marina - Av. Federico Villarreal,-0.04755664053577161
station_name_18046 Malecón de la Marina - Skate Park,0.0014397417769804967
station_name_18047 Malecón Cisneros - Ca. Trípoli,0.0015158763141552547
station_name_18048 Av. Mariscal La Mar - Av. Santa Cruz,-0.0019610140076244996
station_name_18049 Ca. Ignacio Merino - Av. La Mar,-0.0014831478393992207
station_name_18050 Ca. Gral. Borgoño - Parque Manuel Solari,-0.004670364767337523
station_name_27042 Av. P. Carriquiry - Av. Ricardo Angulo,0.020435328608814755
day_of_week_Friday,-0.00046346190240145713
day_of_week_Monday,0.0033962285454004143
day_of_week_Saturday,0.001901710887454481
day_of_week_Sunday,0.0013335577727673746
day_of_week_Thursday,-0.0026282375460003568
day_of_week_Tuesday,0.0001346825289331375
day_of_week_Wednesday,-0.003674480286117272
periodo_dia_mañana,-0.000130543887342733
periodo_dia_noche,0.00035919339279282566
periodo_dia_tarde,-0.00022864950539094444
clima_miraflores_Clima: pronóstico del tiempo,-0.0005280294012395613
clima_miraflores___missing__,0.0005280294012366079
in_miraflores_0.0,0.004184452763934465
in_miraflores_1.0,-0.004184452763787353
date_2025-10-01,-0.0499149947710487
date_2025-10-02,-0.047610514909886464
date_2025-10-03,-0.02072637784670546
date_2025-10-04,0.005538078472107153
date_2025-10-05,0.005753811889885545
date_2025-10-06,0.007735823420480672
date_2025-10-07,0.009339950289960838
date_2025-10-08,0.01334853760416752
date_2025-10-09,0.010954954744074477
date_2025-10-10,0.008501445726315072
date_2025-10-11,0.005330213368234406
date_2025-10-12,0.005838412181342617
date_2025-10-13,0.006359088693673469
date_2025-10-14,0.010430003339038346
date_2025-10-15,0.012200242831988097
date_2025-10-16,0.011482761461464309
date_2025-10-17,0.008469543782140872
date_2025-10-18,0.005593394713284709
date_2025-10-19,0.004699273661497224
date_2025-10-20,0.006318124597609708
date_2025-10-21,0.009254365686740573
date_2025-10-22,0.012427327465461909
date_2025-10-23,0.010632984852232095
date_2025-10-24,0.007848724929716052
date_2025-10-25,0.004802319655444199
date_2025-10-26,0.0050266159481372735
date_2025-10-27,0.006063867672368299
date_2025-10-28,0.008660216005452696
date_2025-10-29,0.012471659705414652
date_2025-10-30,0.010204808514955466
date_2025-10-31,0.007505424888977579
date_2025-11-01,0.005068832632374556
date_2025-11-02,0.005269645227729989
date_2025-11-03,0.00671162761728023
date_2025-11-04,0.00883194972716012
date_2025-11-05,0.011798266134501537
date_2025-11-06,0.01073149638802014
date_2025-11-07,0.008127825238462796
date_2025-11-08,0.005191226526451364
date_2025-11-09,0.005501940204358725
date_2025-11-10,0.006860467106084929
date_2025-11-11,0.009599659844203105
date_2025-11-12,0.012545694404021058
date_2025-11-13,0.011536993626343445
date_2025-11-14,0.007823859927428265
date_2025-11-15,0.005077641488318854
date_2025-11-16,0.005553132483391787
date_2025-11-17,-0.0032972890506759276
date_2025-11-18,-0.009205280443913395
date_2025-11-19,-0.012395040963488375
date_2025-11-20,-0.030952118220613868
date_2025-11-21,-0.028013908548745158
date_2025-11-22,-0.03469999596878206
date_2025-11-23,-0.036309273823594085
date_2025-11-24,-0.0333554815114169
date_2025-11-25,-0.04677618191971891
date_2025-11-26,-0.01615617269712984
date_2025-11-27,0.010390395997418447
