Date,DXY_IndiceDolar,Cobre_Futuros,TC_Yahoo,VIX_Volatilidad,TC_Oficial_BCRP,RIN_Reservas
2015-01-05,91.37999725341795,2.7929999828338623,2.924099922180176,19.920000076293945,2.99085714285714,62086.349769
2015-01-06,91.5,2.803999900817871,2.9835000038146973,21.1200008392334,2.98428571428571,62416.87961346
2015-01-07,91.88999938964844,2.7960000038146973,2.983999967575073,19.309999465942383,2.98785714285714,62367.97035411
2015-01-08,92.37000274658205,2.806999921798706,2.984999895095825,17.010000228881836,2.98942857142857,62360.93634948
2015-01-09,91.94000244140624,2.7904999256134038,2.924999952316284,17.549999237060547,2.98571428571429,62676.989031
2015-01-12,91.9800033569336,2.763000011444092,2.983999967575073,19.600000381469727,2.98971428571429,62964.54466503
2015-01-13,92.30999755859376,2.678999900817871,2.990999937057495,20.559999465942383,2.98528571428571,62920.0940209
2015-01-14,92.16000366210938,2.552999973297119,2.9191999435424805,21.479999542236328,2.99485714285714,62919.57642499
2015-01-15,92.3499984741211,2.611000061035156,2.992000102996826,22.38999938964844,2.997,63237.84322697
2015-01-16,92.5199966430664,2.6540000438690186,2.997999906539917,20.950000762939453,3.01242857142857,63109.72317381
2015-01-19,92.5199966430664,2.6540000438690186,3.015000104904175,20.950000762939453,3.01157142857143,63100.91599043
2015-01-20,93.0500030517578,2.615499973297119,2.9449000358581543,19.88999938964844,3.01028571428571,62749.72717899
2015-01-21,92.9000015258789,2.615000009536743,2.94569993019104,18.850000381469727,3.01057142857143,62747.248368
2015-01-22,94.23999786376952,2.6005001068115234,3.005000114440918,16.399999618530273,3.00514285714286,62606.20039792
2015-01-23,95.0,2.5374999046325684,3.003999948501587,16.65999984741211,3.01657142857143,62601.60873908
2015-01-26,94.8000030517578,2.573499917984009,2.924799919128418,15.520000457763672,3.021,62556.67895738
2015-01-27,94.0199966430664,2.513499975204468,2.9463000297546387,17.219999313354492,3.023,62631.32993778
2015-01-28,94.47000122070312,2.5215001106262207,2.9460999965667725,20.440000534057617,3.02914285714286,62563.86990934
2015-01-29,94.77999877929688,2.470499992370605,2.951299905776977,18.76000022888184,3.04228571428571,62660.07879107
2015-01-30,94.8000030517578,2.5280001163482666,2.961899995803833,20.96999931335449,3.059,62618.83685516
2015-02-02,94.5,2.510999917984009,2.986299991607666,19.43000030517578,3.06042857142857,62504.31296755
2015-02-03,93.5999984741211,2.5999999046325684,3.056999921798706,17.329999923706055,3.05828571428571,62408.3088775
2015-02-04,93.98999786376952,2.611999988555908,3.052999973297119,18.32999992370605,3.06285714285714,62453.09899629
2015-02-05,94.6999969482422,2.611999988555908,3.059999942779541,16.850000381469727,3.06157142857143,62251.85275437
2015-02-06,94.6999969482422,2.6029999256134038,3.061000108718872,17.290000915527344,3.06785714285714,61984.50054078
2015-02-09,94.4499969482422,2.5989999771118164,3.070499897003174,18.549999237060547,3.06742857142857,62012.65259685
2015-02-10,94.76000213623048,2.5625,3.066999912261963,17.229999542236328,3.07514285714286,62051.50412033
2015-02-11,94.98999786376952,2.552500009536743,3.0834999084472656,16.959999084472656,3.09242857142857,62239.80787395
2015-02-12,94.08999633789062,2.608999967575073,3.0099000930786133,15.34000015258789,3.07957142857143,62327.80350426
2015-02-13,94.1999969482422,2.6135001182556152,3.066999912261963,14.6899995803833,3.072,62681.33961852
2015-02-16,94.1999969482422,2.6135001182556152,3.0625,14.6899995803833,3.08585714285714,62673.34548798
2015-02-17,94.05999755859376,2.594500064849853,3.010999917984009,15.800000190734863,3.08414285714286,62300.16298114
2015-02-18,94.1999969482422,2.63949990272522,3.07699990272522,15.449999809265137,3.08614285714286,62367.64826266
2015-02-19,94.4000015258789,2.6414999961853027,3.0845000743865967,15.289999961853027,3.08742857142857,62429.67643652
2015-02-20,94.25,2.6105000972747803,3.0855000019073486,14.300000190734863,3.08728571428572,61833.35140062
2015-02-23,94.56999969482422,2.63949990272522,3.088000059127808,14.5600004196167,3.09128571428571,61793.46836372
2015-02-24,94.48999786376952,2.7114999294281006,3.0899999141693115,13.6899995803833,3.094,61978.04854319
2015-02-25,94.20999908447266,2.7074999809265137,3.0910000801086426,13.84000015258789,3.09628571428571,61930.08426238
2015-02-26,95.29000091552734,2.71399998664856,3.095000028610229,13.90999984741211,3.09314285714286,61958.01731446
2015-02-27,95.25,2.7160000801086426,3.0905001163482666,13.34000015258789,3.09485714285714,61896.32472063
2015-03-02,95.45999908447266,2.7109999656677246,3.094000101089477,13.039999961853027,3.097,61767.08709178
2015-03-03,95.37999725341795,2.673500061035156,3.095999956130981,13.859999656677246,3.092,61950.18069069
2015-03-04,95.97000122070312,2.677000045776367,3.0905001163482666,14.229999542236328,3.09428571428571,62050.26463116
2015-03-05,96.37999725341795,2.671999931335449,3.0920000076293945,14.039999961853027,3.09671428571429,61655.48951272
2015-03-06,97.62000274658205,2.628999948501587,3.0989999771118164,15.199999809265137,3.10085714285714,61477.15187842
2015-03-09,97.58999633789062,2.687000036239624,3.0999999046325684,15.0600004196167,3.099,61377.05928682
2015-03-10,98.62000274658205,2.634999990463257,3.023099899291992,16.690000534057617,3.09942857142857,61446.77185336
2015-03-11,99.8000030517578,2.622499942779541,3.0980000495910645,16.8700008392334,3.10014285714286,61348.74641608
2015-03-12,99.1500015258789,2.674499988555908,3.0934998989105225,15.420000076293944,3.09828571428571,61344.25922405
2015-03-13,100.33000183105467,2.678499937057495,3.095999956130981,16.0,3.10171428571429,61307.09323888
2015-03-16,99.5999984741211,2.677500009536743,3.0999999046325684,15.609999656677246,3.09657142857143,61253.52641666
2015-03-17,99.58999633789062,2.6414999961853027,3.095000028610229,15.65999984741211,3.098,61328.90516174
2015-03-18,98.5500030517578,2.586999893188477,3.0969998836517334,13.970000267028809,3.09928571428571,61481.56983909
2015-03-19,99.0999984741211,2.674499988555908,3.0929999351501465,14.06999969482422,3.09685714285714,61342.05350187
2015-03-20,97.91000366210938,2.775000095367432,3.094000101089477,13.020000457763672,3.08971428571429,61394.45744037
2015-03-23,97.02999877929688,2.808000087738037,3.0810000896453857,13.40999984741211,3.07785714285714,61163.03434172
2015-03-24,97.19000244140624,2.815000057220459,3.076499938964844,13.619999885559082,3.07328571428571,61214.67041937
2015-03-25,96.9800033569336,2.805000066757202,3.075999975204468,15.4399995803833,3.06785714285714,61149.28478315
2015-03-26,97.44000244140624,2.821500062942505,3.068000078201294,15.800000190734863,3.08157142857143,61123.97909997
2015-03-27,97.29000091552734,2.775000095367432,3.0789999961853027,15.06999969482422,3.09142857142857,61730.78228285
2015-03-30,97.9800033569336,2.7874999046325684,3.0920000076293945,14.510000228881836,3.09642857142857,61375.68604478
2015-03-31,98.36000061035156,2.746999979019165,3.094500064849853,15.289999961853027,3.09885714285714,61323.23994948
2015-04-01,98.19000244140624,2.756500005722046,3.019200086593628,15.109999656677246,3.095,61360.26150829
2015-04-02,97.44000244140624,2.747999906539917,3.0929999351501465,14.670000076293944,3.095,61360.26150829
2015-04-03,97.44000244140624,2.747999906539917,3.0088000297546387,14.670000076293944,3.095,61360.26150829
2015-04-06,97.11000061035156,2.7320001125335693,3.0850000381469727,14.739999771118164,3.09142857142857,61417.76748183
2015-04-07,97.83000183105467,2.7769999504089355,3.0845000743865967,14.779999732971191,3.09842857142857,61484.53079628
2015-04-08,98.06999969482422,2.748500108718872,3.0980000495910645,13.979999542236328,3.103,61669.58748945
2015-04-09,99.16000366210938,2.744999885559082,3.0980000495910645,13.09000015258789,3.11457142857143,61755.56785071
2015-04-10,99.38999938964844,2.750499963760376,3.102499961853028,12.579999923706056,3.124,61935.51333271
2015-04-13,99.48999786376952,2.736999988555908,3.127000093460083,13.9399995803833,3.12657142857143,61938.09329077
2015-04-14,98.76000213623048,2.719500064849853,3.121500015258789,13.670000076293944,3.12085714285714,61950.91112827
2015-04-15,98.33000183105467,2.7295000553131104,3.121000051498413,12.84000015258789,3.12457142857143,62211.1413268
2015-04-16,97.41999816894533,2.7855000495910645,3.121999979019165,12.600000381469728,3.12557142857143,62233.82384063
2015-04-17,97.5199966430664,2.783499956130981,3.0343000888824463,13.890000343322754,3.12671428571429,62213.14652079
2015-04-20,97.94000244140624,2.7355000972747803,3.053100109100342,13.300000190734863,3.12671428571429,62172.07263429
2015-04-21,97.9800033569336,2.7049999237060547,3.109499931335449,13.25,3.13214285714286,62102.38909865
2015-04-22,98.0199966430664,2.6695001125335693,3.0471999645233154,12.710000038146973,3.13385714285714,62071.35110843
2015-04-23,97.27999877929688,2.697999954223633,3.13100004196167,12.479999542236328,3.133,61936.18120917
2015-04-24,96.91999816894533,2.752000093460083,3.130000114440918,12.289999961853027,3.13485714285714,61970.72646126
2015-04-27,96.7699966430664,2.7739999294281006,3.045300006866455,13.119999885559082,3.13485714285714,61936.22222164
2015-04-28,96.08999633789062,2.7799999713897705,3.132999897003174,12.40999984741211,3.12742857142857,61775.57625895
2015-04-29,95.12000274658205,2.7950000762939453,3.125,13.390000343322754,3.12157142857143,61636.33403551
2015-04-30,94.5999984741211,2.8864998817443848,3.0541000366210938,14.550000190734863,3.128,61626.85287012
2015-05-01,95.3000030517578,2.93149995803833,3.124000072479248,12.699999809265137,3.128,61626.85287012
2015-05-04,95.4800033569336,2.924000024795532,3.127500057220459,12.850000381469728,3.14128571428571,61500.88683398
2015-05-05,95.12999725341795,2.940000057220459,3.137500047683716,14.3100004196167,3.15057142857143,61518.14878607
2015-05-06,94.12999725341795,2.932499885559082,3.1449999809265137,15.149999618530272,3.14671428571429,61659.50217468
2015-05-07,94.62000274658205,2.9260001182556152,3.140000104904175,15.130000114440918,3.15485714285714,61591.94087796
2015-05-08,94.79000091552734,2.930999994277954,3.1530001163482666,12.859999656677246,3.14928571428571,61664.05402606
2015-05-11,95.01000213623048,2.9175000190734863,3.1410000324249268,13.850000381469728,3.15371428571429,61074.26613406
2015-05-12,94.52999877929688,2.950500011444092,3.1519999504089355,13.859999656677246,3.15314285714286,61194.13876193
2015-05-13,93.62000274658205,2.950000047683716,3.149499893188477,13.760000228881836,3.152,61281.59293421
2015-05-14,93.36000061035156,2.946000099182129,3.1435000896453857,12.739999771118164,3.14971428571429,61322.88799367
2015-05-15,93.13999938964844,2.9489998817443848,3.0850000381469727,12.380000114440918,3.148,61285.83311288
2015-05-18,94.19000244140624,2.930000066757202,3.13949990272522,12.729999542236328,3.152,61132.55616335
2015-05-19,95.2699966430664,2.861500024795532,3.1489999294281006,12.850000381469728,3.15457142857143,60986.00176133
2015-05-20,95.4499969482422,2.8515000343322754,3.1429998874664307,12.880000114440918,3.15728571428571,60771.57494071
2015-05-21,95.26000213623048,2.871000051498413,3.0794999599456787,12.109999656677246,3.15014285714286,60792.28347399
2015-05-22,96.01000213623048,2.8334999084472656,3.125,12.130000114440918,3.148,60504.16297738
