Date,DXY_IndiceDolar,Cobre_Futuros,TC_Yahoo,VIX_Volatilidad
2015-01-01,91.08000183105469,2.8385000228881836,2.9749999046325684,17.790000915527344
2015-01-02,91.08000183105469,2.8385000228881836,2.9393999576568604,17.790000915527344
2015-01-05,91.37999725341797,2.7929999828338623,2.924099922180176,19.920000076293945
2015-01-06,91.5,2.803999900817871,2.9835000038146973,21.1200008392334
2015-01-07,91.88999938964844,2.7960000038146973,2.9839999675750732,19.309999465942383
2015-01-08,92.37000274658203,2.806999921798706,2.984999895095825,17.010000228881836
2015-01-09,91.94000244140625,2.7904999256134033,2.924999952316284,17.549999237060547
2015-01-12,91.9800033569336,2.763000011444092,2.9839999675750732,19.600000381469727
2015-01-13,92.30999755859375,2.678999900817871,2.990999937057495,20.559999465942383
2015-01-14,92.16000366210938,2.552999973297119,2.9191999435424805,21.479999542236328
2015-01-15,92.3499984741211,2.6110000610351562,2.992000102996826,22.389999389648438
2015-01-16,92.5199966430664,2.6540000438690186,2.997999906539917,20.950000762939453
2015-01-19,92.5199966430664,2.6540000438690186,3.015000104904175,20.950000762939453
2015-01-20,93.05000305175781,2.615499973297119,2.9449000358581543,19.889999389648438
2015-01-21,92.9000015258789,2.615000009536743,2.94569993019104,18.850000381469727
2015-01-22,94.23999786376953,2.6005001068115234,3.005000114440918,16.399999618530273
2015-01-23,95.0,2.5374999046325684,3.003999948501587,16.65999984741211
2015-01-26,94.80000305175781,2.573499917984009,2.924799919128418,15.520000457763672
2015-01-27,94.0199966430664,2.5134999752044678,2.9463000297546387,17.219999313354492
2015-01-28,94.47000122070312,2.5215001106262207,2.9460999965667725,20.440000534057617
2015-01-29,94.77999877929688,2.4704999923706055,2.9512999057769775,18.760000228881836
2015-01-30,94.80000305175781,2.5280001163482666,2.961899995803833,20.969999313354492
2015-02-02,94.5,2.510999917984009,2.986299991607666,19.43000030517578
2015-02-03,93.5999984741211,2.5999999046325684,3.056999921798706,17.329999923706055
2015-02-04,93.98999786376953,2.611999988555908,3.052999973297119,18.329999923706055
2015-02-05,94.69999694824219,2.611999988555908,3.059999942779541,16.850000381469727
2015-02-06,94.69999694824219,2.6029999256134033,3.061000108718872,17.290000915527344
2015-02-09,94.44999694824219,2.5989999771118164,3.070499897003174,18.549999237060547
2015-02-10,94.76000213623047,2.5625,3.066999912261963,17.229999542236328
2015-02-11,94.98999786376953,2.552500009536743,3.0834999084472656,16.959999084472656
2015-02-12,94.08999633789062,2.6089999675750732,3.0099000930786133,15.34000015258789
2015-02-13,94.19999694824219,2.6135001182556152,3.066999912261963,14.6899995803833
2015-02-16,94.19999694824219,2.6135001182556152,3.0625,14.6899995803833
2015-02-17,94.05999755859375,2.5945000648498535,3.010999917984009,15.800000190734863
2015-02-18,94.19999694824219,2.6394999027252197,3.0769999027252197,15.449999809265137
2015-02-19,94.4000015258789,2.6414999961853027,3.0845000743865967,15.289999961853027
2015-02-20,94.25,2.6105000972747803,3.0855000019073486,14.300000190734863
2015-02-23,94.56999969482422,2.6394999027252197,3.0880000591278076,14.5600004196167
2015-02-24,94.48999786376953,2.7114999294281006,3.0899999141693115,13.6899995803833
2015-02-25,94.20999908447266,2.7074999809265137,3.0910000801086426,13.84000015258789
2015-02-26,95.29000091552734,2.7139999866485596,3.0950000286102295,13.90999984741211
2015-02-27,95.25,2.7160000801086426,3.0905001163482666,13.34000015258789
2015-03-02,95.45999908447266,2.7109999656677246,3.0940001010894775,13.039999961853027
2015-03-03,95.37999725341797,2.6735000610351562,3.0959999561309814,13.859999656677246
2015-03-04,95.97000122070312,2.677000045776367,3.0905001163482666,14.229999542236328
2015-03-05,96.37999725341797,2.671999931335449,3.0920000076293945,14.039999961853027
2015-03-06,97.62000274658203,2.628999948501587,3.0989999771118164,15.199999809265137
2015-03-09,97.58999633789062,2.687000036239624,3.0999999046325684,15.0600004196167
2015-03-10,98.62000274658203,2.634999990463257,3.023099899291992,16.690000534057617
2015-03-11,99.80000305175781,2.622499942779541,3.0980000495910645,16.8700008392334
2015-03-12,99.1500015258789,2.674499988555908,3.0934998989105225,15.420000076293945
2015-03-13,100.33000183105469,2.678499937057495,3.0959999561309814,16.0
2015-03-16,99.5999984741211,2.677500009536743,3.0999999046325684,15.609999656677246
2015-03-17,99.58999633789062,2.6414999961853027,3.0950000286102295,15.65999984741211
2015-03-18,98.55000305175781,2.5869998931884766,3.0969998836517334,13.970000267028809
2015-03-19,99.0999984741211,2.674499988555908,3.0929999351501465,14.069999694824219
2015-03-20,97.91000366210938,2.7750000953674316,3.0940001010894775,13.020000457763672
2015-03-23,97.02999877929688,2.808000087738037,3.0810000896453857,13.40999984741211
2015-03-24,97.19000244140625,2.815000057220459,3.0764999389648438,13.619999885559082
2015-03-25,96.9800033569336,2.805000066757202,3.0759999752044678,15.4399995803833
2015-03-26,97.44000244140625,2.821500062942505,3.068000078201294,15.800000190734863
2015-03-27,97.29000091552734,2.7750000953674316,3.0789999961853027,15.069999694824219
2015-03-30,97.9800033569336,2.7874999046325684,3.0920000076293945,14.510000228881836
2015-03-31,98.36000061035156,2.746999979019165,3.0945000648498535,15.289999961853027
2015-04-01,98.19000244140625,2.756500005722046,3.019200086593628,15.109999656677246
2015-04-02,97.44000244140625,2.747999906539917,3.0929999351501465,14.670000076293945
2015-04-03,97.44000244140625,2.747999906539917,3.0088000297546387,14.670000076293945
2015-04-06,97.11000061035156,2.7320001125335693,3.0850000381469727,14.739999771118164
2015-04-07,97.83000183105469,2.7769999504089355,3.0845000743865967,14.779999732971191
2015-04-08,98.06999969482422,2.748500108718872,3.0980000495910645,13.979999542236328
2015-04-09,99.16000366210938,2.744999885559082,3.0980000495910645,13.09000015258789
2015-04-10,99.38999938964844,2.750499963760376,3.1024999618530273,12.579999923706055
2015-04-13,99.48999786376953,2.736999988555908,3.127000093460083,13.9399995803833
2015-04-14,98.76000213623047,2.7195000648498535,3.121500015258789,13.670000076293945
2015-04-15,98.33000183105469,2.7295000553131104,3.121000051498413,12.84000015258789
2015-04-16,97.41999816894531,2.7855000495910645,3.121999979019165,12.600000381469727
2015-04-17,97.5199966430664,2.7834999561309814,3.0343000888824463,13.890000343322754
2015-04-20,97.94000244140625,2.7355000972747803,3.053100109100342,13.300000190734863
2015-04-21,97.9800033569336,2.7049999237060547,3.109499931335449,13.25
2015-04-22,98.0199966430664,2.6695001125335693,3.0471999645233154,12.710000038146973
2015-04-23,97.27999877929688,2.697999954223633,3.13100004196167,12.479999542236328
2015-04-24,96.91999816894531,2.752000093460083,3.130000114440918,12.289999961853027
2015-04-27,96.7699966430664,2.7739999294281006,3.045300006866455,13.119999885559082
2015-04-28,96.08999633789062,2.7799999713897705,3.132999897003174,12.40999984741211
2015-04-29,95.12000274658203,2.7950000762939453,3.125,13.390000343322754
2015-04-30,94.5999984741211,2.8864998817443848,3.0541000366210938,14.550000190734863
2015-05-01,95.30000305175781,2.93149995803833,3.124000072479248,12.699999809265137
2015-05-04,95.4800033569336,2.9240000247955322,3.127500057220459,12.850000381469727
2015-05-05,95.12999725341797,2.940000057220459,3.137500047683716,14.3100004196167
2015-05-06,94.12999725341797,2.932499885559082,3.1449999809265137,15.149999618530273
2015-05-07,94.62000274658203,2.9260001182556152,3.140000104904175,15.130000114440918
2015-05-08,94.79000091552734,2.930999994277954,3.1530001163482666,12.859999656677246
2015-05-11,95.01000213623047,2.9175000190734863,3.1410000324249268,13.850000381469727
2015-05-12,94.52999877929688,2.950500011444092,3.1519999504089355,13.859999656677246
2015-05-13,93.62000274658203,2.950000047683716,3.1494998931884766,13.760000228881836
2015-05-14,93.36000061035156,2.946000099182129,3.1435000896453857,12.739999771118164
2015-05-15,93.13999938964844,2.9489998817443848,3.0850000381469727,12.380000114440918
2015-05-18,94.19000244140625,2.930000066757202,3.1394999027252197,12.729999542236328
2015-05-19,95.2699966430664,2.8615000247955322,3.1489999294281006,12.850000381469727
2015-05-20,95.44999694824219,2.8515000343322754,3.1429998874664307,12.880000114440918
2015-05-21,95.26000213623047,2.871000051498413,3.0794999599456787,12.109999656677246
