Fecha,TC_Oficial_BCRP,RIN_Reservas
2015-01-05,2.99085714285714,62086.349769
2015-01-06,2.98428571428571,62416.87961346
2015-01-07,2.98785714285714,62367.97035411
2015-01-08,2.98942857142857,62360.93634948
2015-01-09,2.98571428571429,62676.989031
2015-01-12,2.98971428571429,62964.54466503
2015-01-13,2.98528571428571,62920.0940209
2015-01-14,2.99485714285714,62919.57642499
2015-01-15,2.997,63237.84322697
2015-01-16,3.01242857142857,63109.72317381
2015-01-19,3.01157142857143,63100.91599043
2015-01-20,3.01028571428571,62749.72717899
2015-01-21,3.01057142857143,62747.248368
2015-01-22,3.00514285714286,62606.20039792
2015-01-23,3.01657142857143,62601.60873908
2015-01-26,3.021,62556.67895738
2015-01-27,3.023,62631.32993778
2015-01-28,3.02914285714286,62563.86990934
2015-01-29,3.04228571428571,62660.07879107
2015-01-30,3.059,62618.83685516
2015-02-02,3.06042857142857,62504.31296755
2015-02-03,3.05828571428571,62408.3088775
2015-02-04,3.06285714285714,62453.09899629
2015-02-05,3.06157142857143,62251.85275437
2015-02-06,3.06785714285714,61984.50054078
2015-02-09,3.06742857142857,62012.65259685
2015-02-10,3.07514285714286,62051.50412033
2015-02-11,3.09242857142857,62239.80787395
2015-02-12,3.07957142857143,62327.80350426
2015-02-13,3.072,62681.33961852
2015-02-16,3.08585714285714,62673.34548798
2015-02-17,3.08414285714286,62300.16298114
2015-02-18,3.08614285714286,62367.64826266
2015-02-19,3.08742857142857,62429.67643652
2015-02-20,3.08728571428572,61833.35140062
2015-02-23,3.09128571428571,61793.46836372
2015-02-24,3.094,61978.04854319
2015-02-25,3.09628571428571,61930.08426238
2015-02-26,3.09314285714286,61958.01731446
2015-02-27,3.09485714285714,61896.32472063
2015-03-02,3.097,61767.08709178
2015-03-03,3.092,61950.18069069
2015-03-04,3.09428571428571,62050.26463116
2015-03-05,3.09671428571429,61655.48951272
2015-03-06,3.10085714285714,61477.15187842
2015-03-09,3.099,61377.05928682
2015-03-10,3.09942857142857,61446.77185336
2015-03-11,3.10014285714286,61348.74641608
2015-03-12,3.09828571428571,61344.25922405
2015-03-13,3.10171428571429,61307.09323888
2015-03-16,3.09657142857143,61253.52641666
2015-03-17,3.098,61328.90516174
2015-03-18,3.09928571428571,61481.56983909
2015-03-19,3.09685714285714,61342.05350187
2015-03-20,3.08971428571429,61394.45744037
2015-03-23,3.07785714285714,61163.03434172
2015-03-24,3.07328571428571,61214.67041937
2015-03-25,3.06785714285714,61149.28478315
2015-03-26,3.08157142857143,61123.97909997
2015-03-27,3.09142857142857,61730.78228285
2015-03-30,3.09642857142857,61375.68604478
2015-03-31,3.09885714285714,61323.23994948
2015-04-01,3.095,61360.26150829
2015-04-06,3.09142857142857,61417.76748183
2015-04-07,3.09842857142857,61484.53079628
2015-04-08,3.103,61669.58748945
2015-04-09,3.11457142857143,61755.56785071
2015-04-10,3.124,61935.51333271
2015-04-13,3.12657142857143,61938.09329077
2015-04-14,3.12085714285714,61950.91112827
2015-04-15,3.12457142857143,62211.1413268
2015-04-16,3.12557142857143,62233.82384063
2015-04-17,3.12671428571429,62213.14652079
2015-04-20,3.12671428571429,62172.07263429
2015-04-21,3.13214285714286,62102.38909865
2015-04-22,3.13385714285714,62071.35110843
2015-04-23,3.133,61936.18120917
2015-04-24,3.13485714285714,61970.72646126
2015-04-27,3.13485714285714,61936.22222164
2015-04-28,3.12742857142857,61775.57625895
2015-04-29,3.12157142857143,61636.33403551
2015-04-30,3.128,61626.85287012
2015-05-04,3.14128571428571,61500.88683398
2015-05-05,3.15057142857143,61518.14878607
2015-05-06,3.14671428571429,61659.50217468
2015-05-07,3.15485714285714,61591.94087796
2015-05-08,3.14928571428571,61664.05402606
2015-05-11,3.15371428571429,61074.26613406
2015-05-12,3.15314285714286,61194.13876193
2015-05-13,3.152,61281.59293421
2015-05-14,3.14971428571429,61322.88799367
2015-05-15,3.148,61285.83311288
2015-05-18,3.152,61132.55616335
2015-05-19,3.15457142857143,60986.00176133
2015-05-20,3.15728571428571,60771.57494071
2015-05-21,3.15014285714286,60792.28347399
2015-05-22,3.148,60504.16297738
2015-05-25,3.152,60501.76081668
2015-05-26,3.15442857142857,60336.9586559
2015-05-27,3.149,60185.24409026
2015-05-28,3.15,60220.80027266
2015-05-29,3.15771428571429,60413.11781216
2015-06-01,3.158,60147.52489716
2015-06-02,3.15671428571429,60177.15076526
2015-06-03,3.155,60353.64881432
2015-06-04,3.14771428571429,60524.06590108
2015-06-05,3.15385714285714,60458.36998191
2015-06-08,3.15442857142857,60547.22639444
2015-06-09,3.15342857142857,60501.08714134
2015-06-10,3.15414285714286,60631.45247555
