Model,Sharpe Ratio,Sortino Ratio,Max Drawdown,Cumulative Return
RL Agent,0.34384430868872057,0.5585254883718413,-0.12169685867142792,0.05445540624971201
Buy & Hold,-0.2447040480674962,-0.40030898434843687,-0.13321612978649539,-0.08205119840905484
Random,0.5379489198733084,0.8644628109382234,-0.16259738986323857,0.10349820469499149
HMM Heuristic,-0.25640158446880895,-0.4194116097446112,-0.1332161297864956,-0.08457041105828988
