Date,DXY_IndiceDolar,Cobre_Futuros,TC_Yahoo,VIX_Volatilidad,TC_Oficial_BCRP,RIN_Reservas,Log_Ret,Vol_10d,Spread_TC,PCA_1,PCA_2,PCA_3,RSI,HMM_State
2015-01-19,-1.197579340627562,-0.8171935218784814,3.015000104904175,0.3716082752306041,3.01157142857143,-0.880392042482121,0.0056544964669742,0.0161953427314225,0.0034286763327449,-1.4553589760074588,0.6860539993615594,-0.6497564029636207,50.0,0
2015-01-20,-1.0886115848569418,-0.8612438547818788,2.9449000358581543,0.2225657641392593,3.01028571428571,-0.922162182632964,-0.0235249921272273,0.0169520829403104,-0.0653856784275555,-1.5006366332274494,0.5489492775038533,-0.5205399966783957,50.0,2
2015-01-21,-1.11945145654368,-0.8618158945147169,2.94569993019104,0.0763357048043184,3.01057142857143,-0.9224570105975426,0.0002715833166103,0.0169531169207909,-0.0648714983803899,-1.5454744106942195,0.4105274371006265,-0.5431587323589219,50.0,2
2015-01-22,-0.8439521582591358,-0.8784061379253096,3.005000114440918,-0.2681490053904459,3.00514285714286,-0.939233152907076,0.0199311499080514,0.0182453666752819,-0.000142742701942,-1.5366736616571162,0.066420994329881,-0.2684201745233611,50.0,0
2015-01-23,-0.6876979586724016,-0.9504886000543498,3.003999948501587,-0.2315914235105642,3.01657142857143,-0.9397792814482596,-0.0003328893120621,0.0167241815105823,-0.0125714800698428,-1.5128854567363343,0.1104549355844051,-0.1026216889853616,50.0,2
2015-01-26,-0.7288167418673709,-0.9092987386047148,2.924799919128418,-0.3918821325200108,3.021,-0.945123196793571,-0.0267186421312094,0.0178363858745059,-0.0962000808715819,-1.5424790740438072,-0.0516487117342357,-0.1467387409938482,50.0,2
2015-01-27,-0.8891837609222156,-0.9779484167575818,2.9463000297546387,-0.1528521607917501,3.023,-0.9362442638317828,0.007324081321287,0.0180396583364976,-0.0766999702453614,-1.5876855745298089,0.2063990974310466,-0.2821977683769205,50.0,0
2015-01-28,-0.7966641458619921,-0.9687949626634568,2.9460999965667725,0.2998992032567499,3.02914285714286,-0.9442679102314632,-6.789531839299617e-05,0.0161683032095978,-0.0830428605760875,-1.4513074159729404,0.6335718222945246,-0.2153335578425663,50.0,2
2015-01-29,-0.7329295613354843,-1.027147380046095,2.951299905776977,0.0636811469157219,3.04228571428571,-0.9328248962665818,0.0017634586915797,0.0138993618254588,-0.0909858085087327,-1.5073944352989357,0.4172692150226378,-0.1314656319195264,50.0,2
2015-01-30,-0.7288167418673709,-0.9613579005574174,2.961899995803833,0.3744201906178357,3.059,-0.9377301819332556,0.0035852335647892,0.0139509230611836,-0.0971000041961671,-1.3998001371862714,0.698576934604259,-0.1597293009221003,50.0,2
2015-02-02,-0.7904964852408504,-0.9808088882113448,2.986299991607666,0.157887151094951,3.06042857142857,-0.9513515692903132,0.008204207228056,0.0141127110670362,-0.0741285798209041,-1.4923868842875936,0.5000861967692389,-0.1988940221973262,50.0,2
2015-02-03,-0.9755341467802648,-0.8789784504477198,3.056999921798706,-0.1373854193313346,3.05828571428571,-0.9627702254826898,0.0233988572129211,0.0135653831395394,-0.0012857924870037,-1.5741587715597731,0.2017994418317699,-0.388618339500957,50.0,0
2015-02-04,-0.8953514215433602,-0.8652484057013174,3.052999973297119,0.0032205410445545,3.06285714285714,-0.9574429215416564,-0.0013093123213383,0.0136193464411939,-0.0098571695600209,-1.5001810350416735,0.3279241846467374,-0.3259452069607256,50.0,2
2015-02-05,-0.7493777020458811,-0.8652484057013174,3.059999942779541,-0.204876215947461,3.06157142857143,-0.9813790022367128,0.0022901922584918,0.0123490251398282,-0.0015714857918891,-1.5056105946686726,0.1192871748147672,-0.1789816942256768,56.35590337995063,2
2015-02-06,-0.7493777020458811,-0.8755459392611182,3.061000108718872,-0.1430095182903853,3.06785714285714,-1.01317767881044,0.000326798215918,0.0123380408637269,-0.0068570341382678,-1.518970483867694,0.1827490252906181,-0.1708641133247402,56.4788647261884,2
2015-02-09,-0.8007769653301055,-0.880122529913396,3.070499897003174,0.0341537557807997,3.06742857142857,-1.0098292938697109,0.0030986857626138,0.0071860887789297,0.0030713255746039,-1.5001621815628563,0.3575083629439704,-0.2238418909453498,71.33148256727384,0
2015-02-10,-0.7370408122225649,-0.9218844310958688,3.066999912261963,-0.1514460690058408,3.07514285714286,-1.0052083221076005,-0.0011405247183306,0.007360198608569,-0.0081429448808969,-1.5393074867193035,0.1857601072378064,-0.1457865482640318,70.41397800709237,2
2015-02-11,-0.6897543684064626,-0.9333260441213468,3.0834999084472656,-0.1894097426716318,3.09242857142857,-0.9828116114966166,0.0053654292332421,0.0072246073384737,-0.0089286629813045,-1.5218854251479994,0.1483149602467881,-0.1021871491788692,65.43447851702399,0
2015-02-12,-0.8747920299458741,-0.8686809168879186,3.0099000930786133,-0.4171912482972048,3.07957142857143,-0.972345475643258,-0.0241583992165422,0.0116399603628667,-0.0696713354928166,-1.5972332737543873,-0.0761252475232168,-0.2870542031533762,50.90243939795073,2
2015-02-13,-0.8521762286143298,-0.8635320137132311,3.066999912261963,-0.508585202996909,3.072,-0.9302961490133078,0.0187929699832999,0.0128096839317055,-0.0050000877380371,-1.5781625997401407,-0.1684953158271983,-0.2739016059425439,73.3268044511124,0
2015-02-16,-0.8521762286143298,-0.8635320137132311,3.0625,-0.508585202996909,3.08585714285714,-0.931246965047768,-0.0014682806541486,0.0127790495260735,-0.0233571428571401,-1.578783069781443,-0.1684576590605541,-0.2736912740459929,70.1876701366395,2
2015-02-17,-0.880959690567013,-0.8852711602985113,3.010999917984009,-0.3525125011606038,3.08414285714286,-0.9756330192293736,-0.0169593536100372,0.0117867536329695,-0.0731429391588514,-1.597603671060046,-0.0090247139775716,-0.2889423386255384,59.569453682311426,2
2015-02-18,-0.8521762286143298,-0.8337840380786458,3.07699990272522,-0.4017246409290824,3.08614285714286,-0.967606369246844,0.0216828424655829,0.0138869881507899,-0.0091429544176397,-1.5605839603396727,-0.0721348510636518,-0.2793765071001833,65.71644905502899,0
2015-02-19,-0.8110558768383336,-0.8314956063577218,3.0845000743865967,-0.4242215731344579,3.08742857142857,-0.9602287836546112,0.0024345290574223,0.0138888035847014,-0.0029284970419731,-1.5434913251855626,-0.0973401232430224,-0.2431925491628616,65.44861557245157,2
2015-02-20,-0.8418957485250748,-0.8669645248998317,3.0855000019073486,-0.5634214417244384,3.08728571428572,-1.031155246894898,0.0003241256133359,0.0138888136738154,-0.0017857123783713,-1.65427064332214,-0.2169863189061343,-0.238995414677799,63.28336156603035,2
2015-02-23,-0.7761047542645089,-0.8337840380786458,3.088000059127808,-0.5268638598445567,3.09128571428571,-1.0358989061080812,0.0008099319129861,0.0138655119884197,-0.0032856551579021,-1.603537633359364,-0.1947014851357796,-0.1898219159376345,55.078665729239965,2
2015-02-24,-0.7925528949749114,-0.7514043151793764,3.0899999141693115,-0.6491911633727987,3.094,-1.0139450746807184,0.0006474118225961,0.0138525497564395,-0.0040000858306883,-1.5721233877664025,-0.3338748440364097,-0.2322660948965121,56.10158282817401,2
2015-02-25,-0.8501198188802747,-0.7559809058316532,3.0910000801086426,-0.6281001888610394,3.09628571428571,-1.0196499111288195,0.0003236259339869,0.0137572074380988,-0.0052856341770675,-1.5961826656471236,-0.3084117078846985,-0.2831083737921833,55.21537111346071,2
2015-02-26,-0.6280746250329773,-0.7485438437256134,3.095000028610229,-0.6182578145442609,3.09314285714286,-1.0163275743623428,0.0012932263138564,0.0107715985256447,0.0018571714673689,-1.5016342591090348,-0.3155098570211069,-0.082900494336393,55.662887331550024,2
2015-02-27,-0.6362986953881771,-0.7462554120046895,3.0905001163482666,-0.6984031690489843,3.09485714285714,-1.0236652463114626,-0.001454987616316,0.0092201234060585,-0.0043570265088734,-1.5259484180187426,-0.3923442382619636,-0.0866003138220844,53.38757524288116,2
2015-03-02,-0.5931235024591526,-0.7519763549122146,3.094000101089477,-0.7405849839802098,3.097,-1.0390366752806608,0.0011318570593609,0.0091868012450065,-0.0029998989105228,-1.5321834413560422,-0.4335926137580895,-0.040139458196005,54.5732084057191,2
2015-03-03,-0.6095716431695551,-0.7948823355603641,3.095999956130981,-0.625288139381514,3.092,-1.017259656656878,0.0006461567342806,0.0067110698354711,0.0039999561309809,-1.5250903494816543,-0.3111958950875056,-0.0502480051606353,52.22658894337138,0
2015-03-04,-0.4882685661566455,-0.790877784640925,3.0905001163482666,-0.57326395013351,3.09428571428571,-1.0053557460421334,-0.0017780137936416,0.0012447517121733,-0.0037855979374432,-1.4565550543735877,-0.2706084697412684,0.0551815053081146,68.95583414731536,2
2015-03-05,-0.4039745900326575,-0.7965987275484501,3.0920000076293945,-0.5999790236043201,3.09671428571429,-1.0523100096409364,0.000485205428379,0.0010317160522768,-0.0047142780848954,-1.4641144841741949,-0.2984140660489613,0.1457854582684959,57.9618347041173,0
2015-03-06,-0.1490331147645549,-0.8457976908369622,3.0989999771118164,-0.4368761310230549,3.10085714285714,-1.0735213573155284,0.0022613382273055,0.0012143739389017,-0.0018571657453234,-1.3736738841656062,-0.1443682641168645,0.3945046268346918,61.442024544462676,2
2015-03-09,-0.1552023439667323,-0.7794361716154471,3.0999999046325684,-0.4565608796566118,3.099,-1.0854262968893438,0.0003226093074688,0.0012074850461884,0.0009999046325681,-1.3474741555270244,-0.1799523347988413,0.3704297463584833,90.82587269263394,0
2015-03-10,0.0565639383723427,-0.8389326684637611,3.023099899291992,-0.2273731481528364,3.09942857142857,-1.0771347352569816,-0.0251193190679108,0.0081464216884509,-0.0763286721365776,-1.2461071107638029,0.0419956331613872,0.5739317332618358,27.522842740531715,2
2015-03-11,0.2991685238171174,-0.8532347529430016,3.0980000495910645,-0.2020640323756425,3.10014285714286,-1.0887938090092006,0.0244739963426199,0.0117546563762784,-0.0021428075517957,-1.1633146810094772,0.0547651499897284,0.8028791742847043,53.60384729458462,0
2015-03-12,0.1655301255619303,-0.7937382560946875,3.0934998989105225,-0.4059427821945173,3.09828571428571,-1.0893275123444757,-0.0014536546912431,0.0117590456325452,-0.0047858153751874,-1.223879496172388,-0.148246149872615,0.6684119428226438,52.09641221984528,2
2015-03-13,0.4081347110067079,-0.7891616654424108,3.095999956130981,-0.3243913359038845,3.10171428571429,-1.0937480074138648,0.0008078382470221,0.011750741689752,-0.0057143295833088,-1.1123206739062943,-0.0866762138909734,0.8874753458486863,52.09641221984505,2
2015-03-16,0.2580481720411211,-0.7903057449080869,3.0999999046325684,-0.379227708723707,3.09657142857143,-1.1001192060360248,0.0012911391695117,0.0117522864633458,0.0034284760611384,-1.1872149239741994,-0.1290671702633192,0.753575857382937,52.59336112412991,2
2015-03-17,0.2559917623070629,-0.8314956063577218,3.095000028610229,-0.3721973838864539,3.098,-1.091153713275946,-0.0016141653468372,0.0117643483185489,-0.0029999713897708,-1.205867596450658,-0.1116473678896696,0.7629621095488506,51.01624957446772,2
2015-03-18,0.0421722073959953,-0.8938525746597978,3.0969998836517334,-0.6098213979210986,3.09928571428571,-1.0729958883075323,0.0006459480424348,0.0117493450389153,-0.0022858306339768,-1.3673866164196706,-0.3104288532514457,0.5920272365470681,50.51331133544185,2
2015-03-19,0.1552496454726722,-0.7937382560946875,3.0929999351501465,-0.5957608823388852,3.09685714285714,-1.089589859325903,-0.0012923906867291,0.0117581639117912,-0.0038572077069933,-1.2700737443124908,-0.3300676649021308,0.6660812682762737,50.64329021008625,2
2015-03-20,-0.0894097811251335,-0.6787498133174977,3.094000101089477,-0.7433970334597351,3.08971428571429,-1.0833569732421302,0.0003233120873395,0.0117332877881791,0.0042858153751872,-1.3225378186883636,-0.4866998010283181,0.4079459781338782,50.0,2
2015-03-23,-0.2703361917774645,-0.6409924630544639,3.0810000896453857,-0.6885607947322058,3.07785714285714,-1.1108822671861955,-0.0042105361128917,0.011799887268316,0.0031429467882455,-1.37496642934264,-0.4310756354531606,0.2335907041813715,46.30180436489845,2
2015-03-24,-0.237439910356668,-0.6329833612155866,3.076499938964844,-0.6590335376895772,3.07328571428571,-1.104740709909822,-0.001461681351474,0.0081473419805253,0.0032142246791342,-1.3468158339399536,-0.4071885692497622,0.2586935486104567,46.5311769341373,2
2015-03-25,-0.2806151032856897,-0.6444249742410645,3.075999975204468,-0.4031307327149917,3.06785714285714,-1.1125176296173795,-0.0001625237768228,0.0016344510750454,0.0081428323473282,-1.3188606715402194,-0.1550062189195338,0.2150539097702463,46.01593176105456,0
2015-03-26,-0.1860406470724436,-0.6255462991095473,3.068000078201294,-0.3525125011606038,3.08157142857143,-1.1155274690502113,-0.0026041345880823,0.0017300959866933,-0.0135713503701362,-1.2615531579573276,-0.1173681626816338,0.2944272213548654,42.319157005284666,2
2015-03-27,-0.2168805187591819,-0.6787498133174977,3.0789999961853027,-0.4551549219629955,3.09142857142857,-1.0433547426784735,0.0035789587090738,0.0021836498895889,-0.0124285752432671,-1.2817300376795748,-0.2028482645787579,0.2714323718360616,45.042516834505165,0
2015-03-30,-0.075018050148792,-0.6644480016278299,3.0920000076293945,-0.5338941846818098,3.09642857142857,-1.0855896292923226,0.0042132654892152,0.0026111622302281,-0.0044285637991756,-1.263251130463786,-0.2898995536887856,0.4091770387110868,73.29278554594431,2
2015-03-31,0.0031082653540572,-0.7107864934625796,3.094500064849853,-0.4242215731344579,3.09885714285714,-1.0918275294750277,0.000808229961129,0.0025836298369696,-0.004357078007287,-1.2413164266994812,-0.1770548865043433,0.4933824668034041,47.68212966179273,0
2015-04-01,-0.0318428572197704,-0.6999169201699398,3.019200086593628,-0.4495306889116519,3.095,-1.0874242123711717,-0.0246344388406346,0.0081771225560835,-0.0757999134063722,-1.250862589667538,-0.2021575495670624,0.4577094276034667,24.607008177619434,2
2015-04-02,-0.1860406470724436,-0.7096424139969035,3.0929999351501465,-0.5113972524764346,3.095,-1.0874242123711717,0.024149548423148,0.0117759059174833,-0.0020000648498537,-1.3300067597323733,-0.2490251817788367,0.3217051670133774,49.31065577273071,0
2015-04-03,-0.1860406470724436,-0.7096424139969035,3.0088000297546387,-0.5113972524764346,3.095,-1.0874242123711717,-0.0276001346730865,0.0146505163237236,-0.0861999702453615,-1.3300067597323733,-0.2490251817788367,0.3217051670133774,34.687709657326806,2
2015-04-06,-0.2538880510670648,-0.7279487766060104,3.0850000381469727,-0.5015548781596559,3.09142857142857,-1.0805844939746,0.0250103316594642,0.0170532834573602,-0.0064285332815972,-1.3607596826301678,-0.2305770434469292,0.2635777178445032,48.64498671251549,0
2015-04-07,-0.1058579218355362,-0.6764616543861459,3.0845000743865967,-0.495930645108312,3.09842857142857,-1.0726437142268723,-0.0001620759388446,0.0170447578185383,-0.0139284970419732,-1.2656553921035938,-0.2487292272024854,0.3805481987784633,48.29934488382684,2
2015-04-08,-0.056515068285367,-0.7090701014744932,3.0980000495910645,-0.6084154402274824,3.103,-1.0506332066088555,0.004367164218308,0.017092412481528,-0.0049999504089357,-1.27718870195445,-0.352349893789699,0.4358320579944157,50.663145406298305,2
2015-04-09,0.1675865352959885,-0.7130749251835041,3.0980000495910645,-0.7335546591429567,3.11457142857143,-1.0404067653810607,0.0,0.0170560631988751,-0.0165713789803656,-1.2142687746604588,-0.4866114774684172,0.6451640797455704,50.53190848523553,2
2015-04-10,0.2148729791120965,-0.706781942543141,3.102499961853028,-0.8052637311168105,3.124,-1.0190041814780286,0.0014514677989443,0.017033200510674,-0.0215000381469723,-1.1940931775060366,-0.5611470842421932,0.6844157578981023,52.92515594538755,2
2015-04-13,0.2354323707095768,-0.7222281064880576,3.127000093460083,-0.6140396732788262,3.12657142857143,-1.018697323154987,0.0078658825627358,0.0171542064386885,0.0004286648886528,-1.1530694667524062,-0.3745645919967822,0.701185354584368,56.51615618372335,0
2015-04-14,0.0853474003250257,-0.7422508610852514,3.121500015258789,-0.6520032128523243,3.12085714285714,-1.0171727789458174,-0.0017604479558528,0.0171787010004074,0.0006428724016491,-1.2306531878851514,-0.3960584998598304,0.5711099488017793,55.79618809388288,2
2015-04-15,-0.0030593952670873,-0.730809248059773,3.121000051498413,-0.768706149236929,3.12457142857143,-0.9862211896297758,-0.0001601806186939,0.0147072092321679,-0.0035713770730168,-1.2633906570939897,-0.5067524920574185,0.4837173149257176,56.88311784821212,2
2015-04-16,-0.1901534665405541,-0.6667361605591823,3.121999979019165,-0.802451547544992,3.12557142857143,-0.9835233480391866,0.0003203355836663,0.0127579150625272,-0.0035714495522651,-1.301959142342273,-0.5440429161423772,0.2916682618808927,55.73333468967102,2
2015-04-17,-0.1695940749430738,-0.6690245922801071,3.0343000888824463,-0.6210698640237863,3.12671428571429,-0.9859826933244744,-0.0284930306750814,0.0129809765499852,-0.0924141968318439,-1.2568497533364162,-0.370289892944921,0.3050970397298106,43.58461586584927,2
